name,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,lat,lon,데이터기준일자
수질복원센터 앞 공원주차장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 중동로 150,전라북도 전주시 덕진구 장동 144-3,전라북도 전주시청,063-281-2753,35.84645222,127.0631095,2019-08-30
차량등록사업소,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 완주로 6,전라북도 전주시 덕진구 호성동2가 631-12,전라북도 전주시청,063-281-2753,35.8674296,127.1475595,2019-08-30
삼천도서관,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 완산구 용리로 107,전라북도 전주시 완산구 삼천동 1가 182-1,전라북도 전주시청,063-281-2753,35.7989146,127.1216976,2019-08-30
이마트 전주점,주차장,전라북도,공휴일,10:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,Y,"전라북도 전주시 완산구 당산로 111 , 지하주차장 1층(서신동 767)",전라북도 전주시 완산구 서신동 767,환경부(한국자동차환경협회),1661-9408,35.832564,127.1204648,2019-08-30
전주덕진공원 주차장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,Y,전라북도 전주시 덕진구 권삼득로 390,전라북도 전주시 덕진구 덕진동1가 1316-2,환경부(한국자동차환경협회),1661-9408,35.8480368,127.1222124,2019-08-30
롯데마트 덕진점,주차장,전라북도,공휴일,10:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,Y,전라북도 전주시 덕진구 가련산로 26-3 (송천동1가),전라북도 전주시 덕진구 덕진동2가 392-11,환경부(한국자동차환경협회),1661-9408,35.8417487,127.1118266,2019-08-30
스파라쿠아,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,Y,전라북도 전주시 완산구 신촌3길24,전라북도 전주시 완산구 중화산동2가 784-1,환경부(한국자동차환경협회),1661-9408,35.8174308,127.1156332,2019-08-30
서부신시가지공영주차장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 완산구 농소6길 3-5,전라북도 전주시 완산구 효자동3가 1712-9,환경부(한국자동차환경협회),1661-9408,35.8171962,127.0966897,2019-08-30
우아2동 공영주차장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 산정1길 18,전라북도 전주시 덕진구 산정동 864-1,환경부(한국자동차환경협회),1661-9408,35.8375453,127.1684232,2019-08-30
인후3동 진버들공영주차장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 진버들5길 15,전라북도 전주시 덕진구 인후동1가 807-5,환경부(한국자동차환경협회),1661-9408,35.8361968,127.1647635,2019-08-30
하가지구 공용 주차장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 가련산로 20,전라북도 전주시 덕진구 덕진동2가 694-2,환경부(한국자동차환경협회),1661-9408,35.84133778,127.1112814,2019-08-30
롯데마트 전주점,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 완산구 우전로 240,"전라북도 전주시 완산구 효자동2가 1234-3, 5층",환경부(한국자동차환경협회),1661-9408,35.8163187,127.1025147,2019-08-30
전주 월드컵경기장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 기린대로 1055,전라북도 전주시 덕진구 반월동 763-1,환경부(한국자동차환경협회),1661-9408,35.8680573,127.0645192,2019-08-30
전주 월드컵경기장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 기린대로 1055,전라북도 전주시 덕진구 반월동 763-1,환경부(한국자동차환경협회),1661-9408,35.8680573,127.0645192,2019-08-30
전주 월드컵경기장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC콤보,,1,N,전라북도 전주시 덕진구 기린대로 1055,전라북도 전주시 덕진구 반월동 763-1,환경부(한국자동차환경협회),1661-9408,35.8680573,127.0645192,2019-08-30
수협중앙회 전주공판장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC콤보,,1,N,전라북도 전주시 덕진구 동부대로 1179,전라북도 전주시 덕진구 송천동2가 492-36,환경부(한국자동차환경협회),1661-9408,35.86823849,127.1187597,2019-08-30
수협중앙회 전주공판장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 동부대로 1179,전라북도 전주시 덕진구 송천동2가 492-36,환경부(한국자동차환경협회),1661-9408,35.86823849,127.1187597,2019-08-30
수협중앙회 전주공판장,주차장,전라북도,공휴일,0:00,0:00,N,Y,DC콤보,,1,N,전라북도 전주시 덕진구 동부대로 1179,전라북도 전주시 덕진구 송천동2가 492-36,환경부(한국자동차환경협회),1661-9408,35.86823849,127.1187597,2019-08-30
